road,chainage,lrp,lat,lon,gap,type,name,id,length,type_simple,LRPName,length_bmms,condition,name_bmms,model_type,geometry,link_no,heavy_truck,medium_truck,small_truck,criticality_score,flood_hazard,flood_cat,index_right,eq_hazard,eq_zone,int_cond_score,seismic_mult,flood_mult,max_hazard_mult,vulnerability_score,target_road,is_junction
N1,0.0,LRPS,23.7060278,90.443333,,Others,Start of Road  after Jatrabari Flyover infront of filling station.,0,0.0,Others,,,,,link,POINT (90.443333 23.7060278),N1-1L,402.0,5842.0,1147.0,50365.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,0.814,LRPSa,23.7029167,90.4504167,,Culvert,Box Culvert,1,814.0,Culvert,LRPSa,15.641024258760106,D,Kashinathpur Bridge,link,POINT (90.4504167 23.7029167),N1-1L,402.0,5842.0,1147.0,50365.0,0.0,0.0,0.0,0.6,II,4.0,1.5,1.0,1.5,6.0,,False
N1,0.822,LRPSb,23.7027778,90.4504722,,CrossRoad,Intersection with Z1101,2,8.000000000000007,CrossRoad,LRPSb,12.752515337423311,D,TANARI BOTTOLA CULVERT,link,POINT (90.4504722 23.7027778),N1-1L,402.0,5842.0,1147.0,50365.0,0.0,0.0,0.0,0.6,II,4.0,1.5,1.0,1.5,6.0,,True
N1,1.0,LRP001,23.7021389,90.4519722,,KmPost,Km post missing,3,178.00000000000006,KmPost,,,,,link,POINT (90.4519722 23.7021389),N1-2L,660.0,6155.0,1554.0,57647.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,2.0,LRP002,23.6978886,90.4605833,,KmPost,Km post missing,4,1000.0,KmPost,,,,,link,POINT (90.4605833 23.6978886),N1-2L,660.0,6155.0,1554.0,57647.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,2.13,LRP002a,23.6973608,90.4616667,,Culvert,Box culvert,5,129.9999999999999,Culvert,LRP002a,14.011918735891648,D,Brorechon,link,POINT (90.4616667 23.6973608),N1-2L,660.0,6155.0,1554.0,57647.0,0.0,0.0,0.0,0.6,II,4.0,1.5,1.0,1.5,6.0,,False
N1,3.0,LRP003,23.693833,90.4691382,,KmPost,Km post missing,6,870.0000000000001,KmPost,,,,,link,POINT (90.4691382 23.693833),N1-2L,660.0,6155.0,1554.0,57647.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,4.0,LRP004,23.6936108,90.4787771,,KmPost,Km post missing,7,1000.0,KmPost,,,,,link,POINT (90.4787771 23.6936108),N1-2L,660.0,6155.0,1554.0,57647.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,4.175,LRP004a,23.6938052,90.4805271,,"SideRoad,Right",Road to Narayanganj(R111),8,174.99999999999983,"SideRoad,Right",LRP004a,6.8,D,Bypile Bridge,link,POINT (90.4805271 23.6938052),N1-2L,660.0,6155.0,1554.0,57647.0,0.0,0.0,0.0,0.6,II,4.0,1.5,1.0,1.5,6.0,,True
N1,5.0,LRP005,23.6947497,90.4884997,,KmPost,Km post missing,9,825.0000000000002,KmPost,,,,,link,POINT (90.4884997 23.6947497),N1-3L,91.0,2706.0,2184.0,26859.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
N1,6.0,LRP006,23.6959163,90.4981941,,KmPost,Km post missing,10,1000.0,KmPost,,,,,link,POINT (90.4981941 23.6959163),N1-3L,91.0,2706.0,2184.0,26859.0,0.0,0.0,0.0,0.6,II,1.0,1.5,1.0,1.5,1.5,,False
