road,chainage,lrp,lat,lon,gap,type,name,id,length,type_simple,LRPName,length_bmms,condition,name_bmms
N1,0.0,LRPS,23.7060278,90.443333,,Others,Start of Road  after Jatrabari Flyover infront of filling station.,0,0.0,Others,,,,
N1,0.814,LRPSa,23.7029167,90.4504167,,Culvert,Box Culvert,1,814.0,Culvert,LRPSa,15.641024258760106,D,Kashinathpur Bridge
N1,0.822,LRPSb,23.7027778,90.4504722,,CrossRoad,Intersection with Z1101,2,8.000000000000007,CrossRoad,LRPSb,12.752515337423311,D,TANARI BOTTOLA CULVERT
N1,1.0,LRP001,23.7021389,90.4519722,,KmPost,Km post missing,3,178.00000000000006,KmPost,,,,
N1,2.0,LRP002,23.6978886,90.4605833,,KmPost,Km post missing,4,1000.0,KmPost,,,,
N1,2.13,LRP002a,23.6973608,90.4616667,,Culvert,Box culvert,5,129.9999999999999,Culvert,LRP002a,14.011918735891648,D,Brorechon
N1,3.0,LRP003,23.693833,90.4691382,,KmPost,Km post missing,6,870.0000000000001,KmPost,,,,
N1,4.0,LRP004,23.6936108,90.4787771,,KmPost,Km post missing,7,1000.0,KmPost,,,,
N1,4.175,LRP004a,23.6938052,90.4805271,,"SideRoad,Right",Road to Narayanganj(R111),8,174.99999999999983,"SideRoad,Right",LRP004a,6.8,D,Bypile Bridge
N1,5.0,LRP005,23.6947497,90.4884997,,KmPost,Km post missing,9,825.0000000000002,KmPost,,,,
N1,6.0,LRP006,23.6959163,90.4981941,,KmPost,Km post missing,10,1000.0,KmPost,,,,
N1,7.0,LRP007,23.697333,90.50775,,KmPost,Km post missing,11,1000.0,KmPost,,,,
N1,7.181,LRP007a,23.6979163,90.5092778,,CrossRoad,"R110,Left to Demra, Right to Narayanganj",12,181.00000000000006,CrossRoad,LRP007a,13.762440318302389,D,PASHIM CHARAKUL CUL
N1,8.0,LRP008,23.7020556,90.5157222,,KmPost,Km post missing,13,819.0,KmPost,,,,
