link_no,name,start_lrp,start_offset,start_chainage,end_lrp,end_offset,end_chainage,length_km,heavy_truck,medium_truck,small_truck,large_bus,medium_bus,micro_bus,utility,car,auto_rickshaw,motorcycle,bicycle,cycle_rickshaw,cart,motorized_total,non_motorized_total,total_aadt,aadt,road
N501-1,Diabari More-Birulia (Int.with N511),LRPS,0,0,LRP006,660,6.611,6.611,72.0,387.0,1943.0,170.0,1627.0,1787.0,399.0,2007.0,1443.0,988.0,165.0,355.0,3.0,10823.0,523.0,11346.0,11346.0,N501
N501-2,Birulia (Int.with N511)-Dhour (Int.with N302),LRP006,660,6.611,LRPE,0,11.942,5.331,72.0,387.0,1943.0,170.0,1627.0,1787.0,399.0,2007.0,1443.0,988.0,165.0,355.0,3.0,10823.0,523.0,11346.0,11346.0,N501
N604-1,Pabna (Central Bus Stand)-Pabna (Anonta More) int.with R601,LRPS,0,0,LRPS,1990,1.99,1.990,21.0,395.0,341.0,198.0,96.0,145.0,84.0,139.0,4187.0,2698.0,2110.0,2172.0,2.0,8304.0,4284.0,12588.0,12588.0,N604
N604-2,Pabna (Anonta More)int.with R601 -Police Line More(Int.with R603 ),LRPS,1990,1.99,LRPS,3386,3.386,1.396,21.0,395.0,341.0,198.0,96.0,145.0,84.0,139.0,4187.0,2698.0,2110.0,2172.0,2.0,8304.0,4284.0,12588.0,12588.0,N604
N604-3,Police Line More(Int.with R603 )-Pabna (Ghospara),LRPS,3386,3.386,LRPE,0,7.83,4.444,21.0,395.0,341.0,198.0,96.0,145.0,84.0,139.0,4187.0,2698.0,2110.0,2172.0,2.0,8304.0,4284.0,12588.0,12588.0,N604
N101-1,Comilla (Balutopa)- Bibirbazar Land Port,LRPS,0,0,LRPE,0,6.021,6.021,231.0,1170.0,336.0,285.0,197.0,224.0,421.0,164.0,5450.0,621.0,196.0,413.0,0.0,9099.0,609.0,9708.0,9708.0,N101
N204-1,Jagadishpur-Chunarughat (Int.with Z2008),LRPS,0,0,LRP022,5439,25.449,25.449,0.0,176.0,190.0,31.0,38.0,204.0,43.0,92.0,1119.0,378.0,127.0,230.0,0.0,2271.0,357.0,2628.0,2628.0,N204
N204-2,Chunarughat (Int.with Z2008)-Shaisthaganj,LRP022,5439,25.449,LRPE,0,34.421,8.972,0.0,176.0,190.0,31.0,38.0,204.0,43.0,92.0,1119.0,378.0,127.0,230.0,0.0,2271.0,357.0,2628.0,2628.0,N204
N508-1,Beldanga (10 mile)-Dinajpur Govt. College (Int.with R586),LRPS,0,0,LRP013,90,12.145,12.145,52.0,580.0,121.0,56.0,294.0,101.0,37.0,120.0,426.0,359.0,667.0,371.0,3.0,2146.0,1041.0,3187.0,3187.0,N508
N508-2,Dinajpur Govt. College (Int.with R586),LRP013,90,12.145,LRPE,0,15.975,3.830,52.0,580.0,121.0,56.0,294.0,101.0,37.0,120.0,426.0,359.0,667.0,371.0,3.0,2146.0,1041.0,3187.0,3187.0,N508
N211-1,Beripar-Moulvibazar Court Road,LRPS,0,0,LRPE,0,1.148,1.148,1.0,499.0,1030.0,1134.0,1805.0,1694.0,225.0,936.0,4844.0,1243.0,369.0,5282.0,74.0,13411.0,5725.0,19136.0,19136.0,N211
N303-1,Churkhai Bazar-Intersection with N3,LRPS,0,0,LRPS,1009,1.009,1.009,289.0,4476.0,2925.0,1951.0,1897.0,2624.0,834.0,4892.0,2224.0,1812.0,428.0,4000.0,0.0,23924.0,4428.0,28352.0,28352.0,N303
N703-1,Bus Terminal-Int more N704,LRPS,0,0,LRP001,986,1.986,1.986,10.0,327.0,245.0,180.0,205.0,174.0,35.0,165.0,1625.0,1193.0,1064.0,837.0,0.0,4159.0,1901.0,6060.0,6060.0,N703
N703-2,Int more N704-Int more R745,LRP001,986,1.986,LRP001,1070,2.07,0.084,10.0,327.0,245.0,180.0,205.0,174.0,35.0,165.0,1625.0,1193.0,1064.0,837.0,0.0,4159.0,1901.0,6060.0,6060.0,N703
N703-3,Int with R745-Hamdah (Int with N712),LRP001,1070,2.07,LRPE,0,3.49,1.420,10.0,327.0,245.0,180.0,205.0,174.0,35.0,165.0,1625.0,1193.0,1064.0,837.0,0.0,4159.0,1901.0,6060.0,6060.0,N703
N108-1,Keranirhat (int.with N1)-Bandarban,LRPS,0,0,LRPE,0,22.541,22.541,0.0,180.0,130.0,133.0,64.0,402.0,56.0,507.0,2196.0,621.0,222.0,1022.0,0.0,4289.0,1244.0,5533.0,5533.0,N108
N2-1,Katchpur-Tarabo (Int with R201),LRPS,0,0,LRP002,1147,2.313,2.313,239.0,4475.0,1996.0,3707.0,794.0,3417.0,446.0,3024.0,4643.0,567.0,409.0,942.0,0.0,23308.0,1351.0,24659.0,24659.0,N2
N2-2,Tarabo(Int with R 201)-Barpa(Int. with Z1090 LGED Road),LRP002,1147,2.313,LRP006,900,6.076,3.763,227.0,4684.0,1904.0,1466.0,1026.0,1513.0,637.0,1458.0,3517.0,813.0,190.0,522.0,0.0,17245.0,712.0,17957.0,17957.0,N2
N2-3,Barpa(Int. with Z1090 LGED Road)-Bhulta (Int.with R202),LRP006,900,6.076,LRP011,915,11.111,5.035,237.0,4415.0,1904.0,1451.0,1018.0,1422.0,659.0,1473.0,4094.0,1075.0,393.0,3205.0,0.0,17748.0,3598.0,21346.0,21346.0,N2
