scenario,replication,bridge_id,bridge_name,road,total_delay_min,breakdown_count
S2,0,4094,Bridge start,N4,34499,1
S2,0,4095,Bridge end,N4,34101,1
S2,0,4097,Bridge Start,N4,13233,1
S2,0,4098,Bridge End,N4,34318,1
S2,0,4100,Bridge Start,N4,13914,1
S2,0,4101,Bridge End,N4,34521,1
S2,0,4125,Bridge start,N4,35281,1
S2,0,4127,Bridge End,N4,34961,1
S2,0,4131,Bridge Start,N4,14082,1
S2,0,4132,Bridge End,N4,35759,1
S2,0,4135,Bridge Start,N4,35150,1
S2,0,4136,Bridge End,N4,14250,1
S2,0,4138,Bridge start,N4,36540,1
S2,0,4139,Bridge end,N4,37274,1
S2,0,4150,Bridge start,N4,14869,1
S2,0,4151,Bridge end,N4,36918,1
S2,0,4152,Bridge start,N4,34322,1
S2,0,4153,Bridge end,N4,36909,1
S2,0,4165,Bridge start,N4,37411,1
S2,0,4166,Bridge end,N4,34348,1
S2,0,4170,Bridge start,N4,38231,1
S2,0,4171,Bridge end,N4,38851,1
S2,0,4174,Bridge start,N4,38475,1
S2,0,4175,Bridge end,N4,38942,1
S2,0,4181,Bridge start,N4,39531,1
S2,0,4182,Bridge end,N4,15201,1
S2,0,4184,Bridge start,N4,39920,1
S2,0,4185,Bridge end,N4,15353,1
S2,0,4190,Bridge start,N4,39860,1
S2,0,4191,Bridge end,N4,16286,1
S2,0,4195,Bridge start,N4,16091,1
S2,0,4196,Bridge end,N4,41287,1
S2,0,4198,Bridge start,N4,33376,1
S2,0,4199,Bridge end,N4,34507,1
S2,0,4203,Bridge start,N4,41196,1
S2,0,4204,Bridge end,N4,15664,1
S2,0,4206,Bridge start,N4,41472,1
S2,0,4207,Bridge end,N4,16622,1
S2,0,4210,Bridge start,N4,13069,1
S2,0,4211,Bridge end,N4,34208,1
S2,0,4213,Bridge start,N4,42149,1
S2,0,4214,Bridge end,N4,17204,1
S2,0,4216,Bridge start,N4,42680,1
S2,0,4217,Bridge end,N4,43833,1
S2,0,4219,Bridge start,N4,43746,1
S2,0,4220,Bridge end,N4,44496,1
S2,0,4225,Bridge start,N4,44273,1
S2,0,4226,Bridge end,N4,14601,1
S2,0,4233,Bridge start,N4,41776,1
