truck_id,source_id,source_road,generated_at_step,removed_at_step,travel_time_min,travel_distance_m,sink_id,sink_road,scenario,replication
Truck6,3346,N207,0,6,6,4778.025000000019,3237,N204,S0,0
Truck16,0,N1,3,14,11,8361.824044117646,2346,N2,S0,0
Truck14,1710,N105,3,18,15,11286.841911431562,0,N1,S0,0
Truck26,0,N1,6,21,15,11286.841911431562,1710,N105,S0,0
Truck36,2346,N2,12,23,11,8361.824044117648,0,N1,S0,0
Truck10,3237,N204,0,29,29,22927.921764430062,1356,N102,S0,0
Truck48,0,N1,15,30,15,11286.841911431562,1710,N105,S0,0
Truck70,3346,N207,24,30,6,4778.025000000019,3237,N204,S0,0
Truck62,0,N1,21,32,11,8361.824044117646,2346,N2,S0,0
Truck58,0,N1,18,33,15,11286.841911431562,1710,N105,S0,0
Truck76,0,N1,24,35,11,8361.824044117646,2346,N2,S0,0
Truck60,1710,N105,21,36,15,11286.841911431562,0,N1,S0,0
Truck92,1710,N105,33,37,4,3185.0178673139153,2346,N2,S0,0
Truck80,0,N1,27,38,11,8361.824044117646,2346,N2,S0,0
Truck11,3329,N204,0,40,40,31360.076986546203,3237,N204,S0,0
Truck42,3237,N204,12,41,29,22927.921764430062,1356,N102,S0,0
Truck90,0,N1,30,41,11,8361.824044117646,2346,N2,S0,0
Truck1,1826,N105,0,45,45,35419.96612285012,2346,N2,S0,0
Truck15,1826,N105,3,48,45,35419.96612285012,2346,N2,S0,0
Truck112,0,N1,39,50,11,8361.824044117646,2346,N2,S0,0
Truck43,3329,N204,12,52,40,31360.076986546203,3237,N204,S0,0
Truck74,3237,N204,24,53,29,22927.921764430062,1356,N102,S0,0
Truck122,0,N1,42,53,11,8361.824044117646,2346,N2,S0,0
Truck29,1826,N105,9,54,45,35419.96612285012,2346,N2,S0,0
Truck134,3346,N207,48,54,6,4778.025000000019,3237,N204,S0,0
Truck9,1709,N104,0,57,57,45539.23563910388,1587,N104,S0,0
Truck33,1826,N105,12,57,45,35419.96612285012,2346,N2,S0,0
Truck150,2346,N2,54,58,4,3185.017867313915,1710,N105,S0,0
Truck47,1826,N105,15,60,45,35419.96612285012,2346,N2,S0,0
Truck126,0,N1,45,60,15,11286.841911431562,1710,N105,S0,0
Truck25,1709,N104,6,63,57,45539.23563910388,1587,N104,S0,0
Truck19,1826,N105,6,64,58,46164.99061658157,1710,N105,S0,0
Truck75,3329,N204,24,64,40,31360.076986546203,3237,N204,S0,0
Truck164,2346,N2,60,64,4,3185.017867313915,1710,N105,S0,0
Truck106,3237,N204,36,65,29,22927.921764430062,1356,N102,S0,0
