scenario,replication,bridge_id,bridge_name,road,condition,vulnerability_score,vuln_level,total_delay_min,breakdown_count,trucks_passed
S3,0,1602,Bridge start,N104,D,6.4,High,0,0,1252
S3,0,1603,Bridge end,N104,D,6.4,High,0,0,1252
S3,0,1610,Bridge start,N104,D,6.4,High,0,0,1252
S3,0,1611,Bridge end,N104,D,6.4,High,0,0,1252
S3,0,1633,Bridge start,N104,D,8.0,High,0,0,1257
S3,0,1634,Bridge end,N104,D,8.0,High,0,0,1257
S3,0,1657,Bridge start,N104,D,8.0,High,18905,1,1260
S3,0,1658,Bridge end,N104,C,6.0,Medium-High,0,0,1260
S3,0,1663,Bridge start,N104,D,8.0,High,0,0,1260
S3,0,1664,Bridge end,N104,C,6.0,Medium-High,0,0,1260
S3,0,1673,Bridge start,N104,D,8.0,High,0,0,1261
S3,0,1674,Bridge end,N104,D,8.0,High,47986,1,1267
S3,0,1685,Bridge start,N104,D,8.0,High,0,0,1268
S3,0,1686,Bridge end,N104,C,6.0,Medium-High,0,0,1268
S3,0,1690,Bridge start,N104,D,8.0,High,0,0,1268
S3,0,1691,Bridge end,N104,C,6.0,Medium-High,0,0,1268
S3,0,1702,Bridge start,N104,C,6.0,Medium-High,0,0,1269
S3,0,1703,Bridge end,N104,C,6.0,Medium-High,0,0,1269
S3,0,14,Kachpur bridge,N1,D,6.0,Medium-High,0,0,3400
S3,0,15,Bridge end,N1,D,6.0,Medium-High,0,0,3400
S3,0,26,Bridge start,N1,D,6.0,Medium-High,0,0,4633
S3,0,27,Bridge end,N1,D,6.0,Medium-High,0,0,4633
S3,0,36,Langalbandhu bridge,N1,D,6.0,Medium-High,0,0,5533
S3,0,37,Bridge end,N1,D,6.0,Medium-High,0,0,5533
S3,0,39,Bridge start,N1,D,6.0,Medium-High,0,0,5533
S3,0,40,Bridge end,N1,D,6.0,Medium-High,0,0,5533
S3,0,41,Bridge start,N1,D,6.0,Medium-High,0,0,5533
S3,0,42,Bridge end,N1,D,6.0,Medium-High,0,0,5533
S3,0,44,Bridge start,N1,D,6.0,Medium-High,0,0,5533
S3,0,45,Bridge end,N1,D,6.0,Medium-High,0,0,5533
S3,0,51,Bridge start,N1,D,6.0,Medium-High,0,0,5534
S3,0,52,Bridge end,N1,D,6.0,Medium-High,0,0,5534
S3,0,56,Bridge start,N1,D,6.0,Medium-High,207044,1,5542
S3,0,57,Bridge end,N1,D,6.4,High,0,0,5525
S3,0,58,Bridge start,N1,C,4.800000000000001,Medium-High,0,0,5525
S3,0,59,Bridge end,N1,B,3.0,Medium-Low,0,0,5525
S3,0,61,Meghna  bridge,N1,D,6.0,Medium-High,0,0,5525
S3,0,63,Bridge end,N1,D,6.4,High,0,0,5525
S3,0,69,Bridge start,N1,D,6.4,High,0,0,5524
S3,0,71,Bridge end,N1,D,6.0,Medium-High,0,0,5524
S3,0,72,Bridge start,N1,D,6.4,High,0,0,5524
S3,0,73,Bridge end,N1,D,6.4,High,208554,1,5542
S3,0,75,Bridge start,N1,D,6.4,High,0,0,5524
S3,0,76,Bridge end,N1,D,6.4,High,0,0,5524
S3,0,78,Bridge start,N1,D,6.4,High,0,0,5524
S3,0,79,Bridge end,N1,D,6.4,High,205747,1,5539
S3,0,80,Bridge start,N1,C,4.800000000000001,Medium-High,0,0,5526
S3,0,81,Bridge end,N1,C,4.800000000000001,Medium-High,0,0,5526
S3,0,84,Bridge start,N1,D,6.4,High,208249,1,5543
S3,0,85,Bridge end,N1,D,6.4,High,0,0,5531
S3,0,89,Bridge start,N1,D,6.4,High,0,0,5532
S3,0,90,Bridge end,N1,D,6.4,High,0,0,5532
S3,0,94,Bridge start,N1,D,6.4,High,0,0,5531
S3,0,95,Bridge end,N1,C,4.800000000000001,Medium-High,208769,1,5545
S3,0,98,Daudkandi bridge,N1,D,6.4,High,83097,1,5531
S3,0,101,Daudkandi bridge,N1,D,6.0,Medium-High,0,0,5517
S3,0,104,Bridge start,N1,D,6.4,High,0,0,5516
S3,0,105,Bridge end,N1,C,4.800000000000001,Medium-High,0,0,5516
S3,0,111,Bridge start,N1,D,6.4,High,206343,1,5535
S3,0,112,Bridge end,N1,C,4.800000000000001,Medium-High,82620,1,5529
S3,0,124,Bridge start,N1,C,4.800000000000001,Medium-High,0,0,5517
S3,0,125,Bridge end,N1,C,4.800000000000001,Medium-High,206631,1,5537
S3,0,128,Bridge start,N1,D,6.4,High,208592,1,5532
S3,0,129,Bridge end,N1,C,4.800000000000001,Medium-High,0,0,5521
S3,0,137,Bridge start,N1,C,4.800000000000001,Medium-High,0,0,5521
S3,0,138,Bridge end,N1,C,4.800000000000001,Medium-High,0,0,5521
S3,0,165,Bridge start,N1,C,4.800000000000001,Medium-High,0,0,5524
S3,0,166,Bridge end,N1,B,3.2,Medium-Low,0,0,5524
S3,0,193,Bridge start,N1,B,4.0,Medium-Low,0,0,4373
S3,0,194,Bridge end,N1,A,2.0,Low,0,0,4373
S3,0,200,Bridge start,N1,C,6.0,Medium-High,0,0,4373
S3,0,201,Bridge end,N1,B,4.0,Medium-Low,0,0,4373
S3,0,206,Bridge start,N1,D,8.0,High,0,0,4372
S3,0,207,Bridge end,N1,C,6.0,Medium-High,0,0,4372
S3,0,213,Bridge start,N1,C,6.0,Medium-High,165517,1,4386
S3,0,214,Bridge end,N1,D,8.0,High,0,0,4380
S3,0,221,Bridge start,N1,C,6.0,Medium-High,0,0,4381
S3,0,222,Bridge end,N1,Unknown,2.0,Low,0,0,4381
S3,0,227,Bridge start,N1,D,8.0,High,0,0,4381
S3,0,228,Bridge end,N1,A,2.0,Low,0,0,4381
S3,0,233,Bridge start,N1,D,8.0,High,0,0,4383
S3,0,234,Bridge end,N1,C,6.0,Medium-High,166302,1,4398
S3,0,238,Bridge start,N1,D,6.4,High,0,0,4385
S3,0,239,Bridge end,N1,B,3.2,Medium-Low,0,0,4385
S3,0,241,Bridge start,N1,B,3.2,Medium-Low,0,0,4388
S3,0,242,Bridge end,N1,C,4.800000000000001,Medium-High,0,0,4388
S3,0,247,Bridge start,N1,C,6.0,Medium-High,0,0,4389
S3,0,248,Bridge end,N1,D,8.0,High,0,0,4389
S3,0,262,Bridge start,N1,C,4.800000000000001,Medium-High,0,0,4391
S3,0,263,Bridge end,N1,A,1.6,Low,0,0,4391
S3,0,281,Bridge start,N1,C,6.0,Medium-High,0,0,4392
S3,0,282,Bridge end,N1,B,4.0,Medium-Low,0,0,4392
S3,0,286,Bridge start,N1,D,6.0,Medium-High,165771,1,4409
S3,0,287,Bridge end,N1,B,3.0,Medium-Low,0,0,4404
S3,0,313,Bridge start,N1,A,1.5,Low,0,0,4405
S3,0,314,Bridge end,N1,Unknown,1.5,Low,0,0,4405
S3,0,338,Bridge start,N1,A,1.5,Low,0,0,3184
S3,0,339,Bridge end,N1,A,1.5,Low,0,0,3184
S3,0,347,Bridge start,N1,B,3.0,Medium-Low,0,0,3185
S3,0,348,Bridge end,N1,Unknown,1.5,Low,0,0,3185
S3,0,357,Bridge start,N1,B,4.0,Medium-Low,47477,1,3187
S3,0,358,Bridge end,N1,A,2.0,Low,0,0,3183
S3,0,365,Bridge start,N1,D,8.0,High,119376,1,3196
S3,0,366,Bridge end/Start of Chittagong Road Division / Bridge end/Start of Chittagong Road Division,N1,Unknown,2.0,Low,0,0,3193
S3,0,387,Bridge start,N1,C,4.5,Medium-High,0,0,3198
S3,0,388,Bridge end,N1,C,4.5,Medium-High,47995,1,3199
S3,0,406,Bridge start,N1,C,4.800000000000001,Medium-High,0,0,3196
S3,0,408,Bridge end,N1,C,4.800000000000001,Medium-High,0,0,3196
S3,0,417,Bridge start,N1,C,4.800000000000001,Medium-High,0,0,3199
S3,0,418,Bridge end,N1,D,6.4,High,0,0,3199
S3,0,466,Bridge start,N1,Unknown,1.6,Low,0,0,3209
S3,0,467,Bridge end / Box culvert,N1,Unknown,1.6,Low,0,0,3211
S3,0,482,Bridge start,N1,B,3.2,Medium-Low,0,0,3211
S3,0,483,Bridge end,N1,Unknown,1.6,Low,0,0,3211
S3,0,487,Bridge start,N1,A,1.6,Low,0,0,3211
S3,0,488,Bridge end,N1,A,1.6,Low,0,0,3211
S3,0,491,Bridge start,N1,A,1.6,Low,0,0,3211
S3,0,492,Bridge end,N1,A,1.6,Low,0,0,3211
S3,0,496,Bridge start,N1,A,1.6,Low,0,0,3211
S3,0,497,Bridge end,N1,A,1.6,Low,0,0,3211
S3,0,503,Bridge start,N1,A,1.6,Low,0,0,3208
S3,0,504,Bridge end,N1,A,1.6,Low,0,0,3208
S3,0,506,Bridge start,N1,C,4.800000000000001,Medium-High,0,0,3208
S3,0,507,Bridge end,N1,Unknown,1.6,Low,0,0,3208
S3,0,509,Bridge start,N1,Unknown,1.6,Low,0,0,3208
S3,0,510,Bridge end,N1,Unknown,1.6,Low,0,0,3207
S3,0,512,Bridge start,N1,A,1.6,Low,0,0,3209
S3,0,513,Bridge end,N1,A,1.6,Low,0,0,3209
S3,0,514,Bridge start,N1,Unknown,1.6,Low,0,0,3209
S3,0,515,Bridge end,N1,Unknown,1.6,Low,0,0,3209
S3,0,518,Bridge start,N1,B,3.2,Medium-Low,0,0,3209
S3,0,519,Bridge end,N1,A,1.6,Low,0,0,3209
S3,0,524,Bridge start,N1,A,1.6,Low,0,0,3210
S3,0,525,Bridge end,N1,A,1.6,Low,0,0,3210
S3,0,530,Bridge start,N1,A,1.6,Low,0,0,3210
S3,0,531,Bridge end,N1,C,4.800000000000001,Medium-High,0,0,3210
S3,0,534,Bridge start,N1,A,1.6,Low,0,0,3209
S3,0,535,Bridge end,N1,A,1.6,Low,0,0,3209
S3,0,538,Bridge start,N1,Unknown,1.6,Low,0,0,3209
S3,0,539,Bridge end,N1,C,4.800000000000001,Medium-High,48197,1,3213
S3,0,542,Bridge start,N1,A,1.6,Low,0,0,3211
S3,0,543,Bridge end,N1,Unknown,1.6,Low,0,0,3211
S3,0,550,Bridge start,N1,A,1.5,Low,0,0,3213
S3,0,551,Bridge end,N1,A,1.5,Low,0,0,3213
S3,0,555,Bridge start,N1,Unknown,1.5,Low,0,0,3214
S3,0,556,Bridge end,N1,Unknown,1.5,Low,0,0,3214
S3,0,560,Bridge start,N1,A,1.5,Low,0,0,3215
S3,0,561,Bridge end,N1,B,3.0,Medium-Low,0,0,3215
S3,0,569,Bridge start,N1,C,4.5,Medium-High,0,0,3214
S3,0,570,Bridge end,N1,A,1.5,Low,0,0,3214
S3,0,572,Bridge start,N1,C,4.800000000000001,Medium-High,0,0,3215
S3,0,573,Bridge end,N1,A,1.6,Low,0,0,3215
S3,0,575,Bridge start,N1,B,3.2,Medium-Low,0,0,3215
S3,0,576,Bridge end,N1,A,1.6,Low,0,0,3215
S3,0,577,Bridge start,N1,A,1.6,Low,0,0,3215
S3,0,578,Bridge end,N1,Unknown,1.6,Low,0,0,3217
S3,0,580,Shah Amanath (Karnaphuli) Bridge,N1,B,3.2,Medium-Low,0,0,3217
S3,0,582,Bridge end,N1,A,1.6,Low,0,0,3216
S3,0,583,Bridge start,N1,Unknown,1.6,Low,0,0,3216
S3,0,584,Bridge end,N1,Unknown,1.6,Low,0,0,3215
S3,0,598,Bridge start,N1,Unknown,1.6,Low,0,0,3216
S3,0,600,Bridge end,N1,B,3.2,Medium-Low,0,0,3216
S3,0,622,Bridge start,N1,D,6.4,High,0,0,3216
S3,0,623,Bridge end,N1,A,1.6,Low,0,0,3216
